BSPlotNumber,ForestAllianceType,SampleYear,ppt,psi,forest.200m,Richness,BA_UMCAsqrt,BA_LIDEsqrt,ccompsqrt,I_all,I_HS,n_all,n_HS,n_MS,ppt_z,psi_z,forest.200m_z,Richness_z,BA_UMCAsqrt_z,BA_LIDEsqrt_z,ccompsqrt_z
BS038,1,1,109.546,0.42,68655.3074561,3,0.4047962141919065,0,19.27777210271463,2,2,32,24,8,-0.20536825125023392,-0.7646295136062027,-0.5563724258333903,-0.21430668070541872,0.06595269226697864,-0.4404170189214464,-0.2165339030203237
BS070,0,1,117.996,0.95,74576.9947358,2,0.31752287608480595,0,15.3174027130507,2,2,5,5,0,-0.007284819192983059,0.6647865100776189,-0.44583668727502795,-0.5622669902378729,-0.04861248797145188,-0.4404170189214464,-0.45502569466259046
BS072,0,1,124.044,0.83,79395.613526,7,0.22946432897583086,0.1712161979744024,11.845732034923108,4,4,34,7,27,0.13449134614219507,0.3411451462246782,-0.35589110898826953,1.1775345574243978,-0.16420842528616386,-0.26035009687819155,-0.6640882538722083
BS073,0,1,120.5,0.77,73396.5877548,7,0.24175646780879412,0.03147041601320488,11.328735012222607,3,3,14,8,6,0.051413513809544495,0.17932446429820795,-0.46787046773006286,1.1775345574243978,-0.14807232769372317,-0.40731979439502763,-0.6952215987918404
BS076,0,0,146.31,0.96,121003.01713986,3,0,1.373666028360074,32.804193956713114,2,2,67,53,14,0.6564470500696217,0.6917566237320306,0.42076339347422453,-0.21430668070541872,-0.4654301131187706,1.0042582896563153,0.5980215752864513
BS077,0,0,146.59,0.83,125581.0390586,4,0,0.03129523142200131,18.218632013454823,2,2,34,30,4,0.6630107614277319,0.3411451462246782,0.5062179286468302,0.13365362882703544,-0.4654301131187706,-0.40750403484949765,-0.28031487712515496
BS078,0,0,143.72,0.78,122973.6699749,3,0.07783676144629809,0.27377958127296287,7.130378902591268,48,48,51,50,1,0.5957327200071032,0.2062945779526197,0.45754810639042415,-0.21430668070541872,-0.36325248593407894,-0.15248487756246162,-0.9480448513781862
BS079,0,0,153.26,0.74,100191.86785009,6,0.16248916905114635,1.039222281482683,25.518706456211874,9,9,46,42,4,0.8193677427084256,0.0984141233349727,0.03229712561186583,0.8295742478919438,-0.25212784529107957,0.6525260539841465,0.15929255886777682
BS081,1,0,123.03,0.91,125581.0370178,5,0.054946069378071,1.2633608549694544,32.2947553244443,21,21,34,25,9,0.11072133429532503,0.5569060554599722,0.5062178905527324,0.48161393835948957,-0.3933014827922097,0.8882510818519117,0.567343393483848
BS083,0,0,108.1,0.47,106453.8253509,6,0.5003675206600762,0.3180468293482071,20.258937439048914,13,13,27,24,3,-0.23926513204961708,-0.629778945334144,0.14918443567734707,0.8295742478919438,0.19141075527485302,-0.10592931095990142,-0.15744853599108602
