BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS038,UMCA,0.005573185367468292,0,1,4,-0.1586312596006888
BS038,QUAG,0.4082821666586928,0,1,2,1.547854707486822
BS038,UMCA,0.012240430376549231,1,1,4,-0.13037869863060447
BS038,UMCA,0.016823228659973342,0,1,4,-0.11095901512719514
BS038,UMCA,0.01045600574931023,0,1,4,-0.13794022749431417
BS038,UMCA,0.013510419206762905,0,1,4,-0.12499709996307871
BS038,UMCA,9.330530181161686e-4,0,1,4,-0.17829389715649727
BS038,UMCA,4.1547562843725005e-4,0,1,4,-0.18048713990349757
BS038,UMCA,0.0020404644285065706,0,1,4,-0.1736012229937197
BS038,UMCA,0.001017876019763093,0,1,4,-0.17793445828445473
BS038,UMCA,0.008510574498574749,0,1,4,-0.14618402458736388
BS038,UMCA,0.005562975191344126,0,1,4,-0.15867452539084206
BS038,UMCA,0.03234505256319711,1,1,4,-0.045185029681114756
BS038,UMCA,0.0014686945655532284,0,1,4,-0.17602410724230272
BS038,UMCA,0.0033858514824063996,0,1,4,-0.16790012310660055
BS038,UMCA,0.00879331783739783,0,1,4,-0.14498589501388873
BS038,UMCA,0.00413040894130718,0,1,4,-0.16474504856311606
BS038,UMCA,0.0061865813330817,0,1,4,-0.1560319840537886
BS038,UMCA,0.007319910882864218,0,1,4,-0.1512294813467758
BS038,UMCA,0.009635264668559894,0,1,4,-0.14141813139509615
BS038,UMCA,4.249004063980195e-4,0,1,4,-0.1804472022510484
BS038,UMCA,0.001562942345160922,0,1,4,-0.175624730717811
BS038,UMCA,0.004751658888554562,0,1,4,-0.16211249163917485
BS038,UMCA,0.006771702964812798,0,1,4,-0.1535525214642359
BS070,QUAG,1.6444329024005513,0,2,2,6.786063890169261
BS070,QUAG,0.1940004149426403,0,2,2,0.6398322414024727
BS070,QUAG,0.4287559259821376,0,2,2,1.634612601157238
BS070,UMCA,0.04592772840099258,1,2,4,0.012371783773548693
BS070,UMCA,0.05489304843617445,1,2,4,0.050362475665822505
BS072,QUAG,0.2989924414256112,0,3,2,1.0847376896862366
BS072,UMCA,0.024736115156202634,1,3,4,-0.07742802775841207
BS072,UMCA,0.0060342140893825955,1,3,4,-0.15667764276838353
BS072,QUAG,0.6461070137207474,1,3,2,2.5556414293892007
BS072,LIDE,0.028352873698647883,0,3,1,-0.06210195363104273
BS072,LIDE,9.621127501618741e-4,0,3,1,-0.17817075606144567
BS072,UMCA,0.0218835490267431,1,3,4,-0.08951582389969447
BS073,LIDE,9.903870840441823e-4,1,4,1,-0.17805094310409814
BS073,QUAG,0.5528582605768952,0,4,2,2.160498296057104
BS073,UMCA,0.01738714454129271,1,4,4,-0.10856941225565309
BS073,UMCA,0.041059045186091804,1,4,4,-0.00825934185415215
BS073,QUAG,0.05067074790974977,0,4,2,0.03247040736859395
BS073,QUAG,0.1100971145450543,0,4,2,0.2842906186114329
BS073,QUAG,0.1832247521408273,0,4,2,0.5941701921022541
BS073,QUAG,0.20029616662043426,0,4,2,0.6665105932385189
BS076,LIDE,2.544690049407733e-4,0,5,1,-0.18116940813283758
BS076,LIDE,0.0019069467407290047,1,5,1,-0.17416700640341629
BS076,LIDE,0.0022368139693559326,0,5,1,-0.1727691885676953
