BSPlotNumber,Species,basal_area,I,plotID,spID
BS038,UMCA,0.005573185367468292,0,1,26
BS038,QUAG,0.4082821666586928,0,1,16
BS038,UMCA,0.012240430376549231,1,1,26
BS038,UMCA,0.016823228659973342,0,1,26
BS038,UMCA,0.01045600574931023,0,1,26
BS038,UMCA,0.013510419206762905,0,1,26
BS038,SESE,0.004406083696659685,0,1,24
BS038,SESE,0.6614984615288474,0,1,24
BS038,SESE,2.5391663441245576,0,1,24
BS038,SESE,2.544690049407733e-4,0,1,24
BS038,UMCA,9.330530181161686e-4,0,1,26
BS038,SESE,6.157521601035993e-4,0,1,24
BS038,UMCA,4.1547562843725005e-4,0,1,26
BS038,SESE,8.042477193189871e-4,0,1,24
BS038,SESE,0.31686496203188347,0,1,24
BS038,UMCA,0.0020404644285065706,0,1,26
BS038,UMCA,0.001017876019763093,0,1,26
BS038,UMCA,0.008510574498574749,0,1,26
BS038,SESE,0.0014207852775859839,0,1,24
BS038,UMCA,0.005562975191344126,0,1,26
BS038,UMCA,0.03234505256319711,1,1,26
BS038,UMCA,0.0014686945655532284,0,1,26
BS038,UMCA,0.0033858514824063996,0,1,26
BS038,UMCA,0.00879331783739783,0,1,26
BS038,UMCA,0.00413040894130718,0,1,26
BS038,UMCA,0.0061865813330817,0,1,26
BS038,UMCA,0.007319910882864218,0,1,26
BS038,UMCA,0.009635264668559894,0,1,26
BS038,UMCA,4.249004063980195e-4,0,1,26
BS038,UMCA,0.001562942345160922,0,1,26
BS038,UMCA,0.004751658888554562,0,1,26
BS038,UMCA,0.006771702964812798,0,1,26
BS070,QUAG,1.6444329024005513,0,2,16
BS070,QUAG,0.1940004149426403,0,2,16
BS070,QUAG,0.4287559259821376,0,2,16
BS070,UMCA,0.04592772840099258,1,2,26
BS070,UMCA,0.05489304843617445,1,2,26
BS072,CEOL,0.006503882191094269,0,3,6
BS072,ARME,1.3273228961416876e-4,0,3,4
BS072,QUAG,0.2989924414256112,0,3,16
BS072,ARME,2.0813051330032382e-4,0,3,4
BS072,ARME,0.00643555255087869,0,3,4
BS072,CEOL,0.007697687399458391,0,3,6
BS072,ARME,0.0074777759137071055,0,3,4
BS072,CEOL,9.621127501618741e-4,0,3,6
BS072,ARME,0.0084948665353068,0,3,4
BS072,ARME,0.020383438534653974,0,3,4
BS072,ARME,0.006993970645054275,0,3,4
BS072,ARME,0.007469136533909733,0,3,4
BS072,ARME,0.017885086976886694,0,3,4
BS072,ARME,0.006243130000846316,0,3,4
BS072,ARME,6.60519855417254e-4,0,3,4
BS072,ARME,0.021559179585259956,0,3,4
BS072,ARME,0.001017876019763093,0,3,4
BS072,CEOL,0.0056745017305465635,0,3,6
BS072,CEOL,9.0792027688745e-4,0,3,6
BS072,ARME,0.018237730752252147,0,3,4
BS072,UMCA,0.024736115156202634,1,3,26
BS072,UMCA,0.0060342140893825955,1,3,26
BS072,CEOL,0.009503317777109124,0,3,6
BS072,PIPO,3.141592653589793e-4,0,3,13
BS072,ARME,0.001288052987971815,0,3,4
BS072,ARME,2.544690049407733e-4,0,3,4
BS072,ARME,1.1309733552923256e-4,0,3,4
BS072,ARME,3.330088212805181e-4,0,3,4
BS072,CEOL,0.0028274333882308137,0,3,6
BS072,ARME,9.503317777109126e-5,0,3,4
BS072,CEOL,0.007853981633974483,0,3,6
BS072,CEOL,0.002642079421669016,0,3,6
BS072,QUAG,0.6461070137207474,1,3,16
BS072,LIDE,0.028352873698647883,0,3,10
BS072,CEOL,0.0012566370614359172,0,3,6
BS072,CEOL,7.068583470577034e-4,0,3,6
BS072,CEOL,0.0011341149479459152,0,3,6
BS072,CEOL,0.002042820622996763,0,3,6
BS072,ARME,0.010161481438036187,0,3,4
BS072,CEOL,0.010568317686676064,0,3,6
BS072,CEOL,0.002375829444277281,0,3,6
BS072,CEOL,0.003117245310524472,0,3,6
BS072,CEOL,0.01743662462558675,0,3,6
BS072,CEOL,0.0010752100856911068,0,3,6
BS072,LIDE,9.621127501618741e-4,0,3,10
BS072,CEOL,0.010028749148422018,0,3,6
BS072,UMCA,0.0218835490267431,1,3,26
BS072,ARME,0.23634437152405033,0,3,4
BS072,CEOL,0.005944678698755285,0,3,6
BS072,ARME,5.92190215201676e-4,0,3,4
BS072,ARME,0.06738559162317427,0,3,4
BS072,ARME,8.867145264757192e-4,0,3,4
BS072,ARME,0.029025959924679493,0,3,4
